finished,age,gender,educ,employment,income,ideology_left,attention_check,democ1_squabble_pre,democ2_econ_bad_pre,democ3_no_order_pre,democ4_military_pre,democ5_better_pre,dem_estimate_pre,treat_share_high,dem_estimate_post,treat_turnout_high,democ1_squabble_post,democ2_econ_bad_post,democ3_no_order_post,democ4_military_post,democ5_better_post,behavioral,part_time_employ,full_time_employ,democ_post_all_missing,pre_democ_index,post_democ_index,male,zip_first_digit,non_white_share
1,58,Female,2,Permanently disabled,14,4,4,3,NA,NA,NA,3,22,0,24,1,NA,3,3,3,NA,0,0,0,0,6,9,0,4,0.7742620669449938
1,79,Female,2,Retired,22100,1,8,NA,NA,5,5,NA,65,0,44,0,4,5,NA,NA,5,0,0,0,0,10,14,0,6,0.1500661500661501
1,80,Female,5,Retired,35000,3,8,3,4,NA,NA,NA,69,1,62,0,NA,NA,4,5,5,1,0,0,0,7,14,0,8,0.5023788135875171
1,51,Female,2,Part-time employed,34000,2,4,NA,1,1,NA,NA,82,0,28,1,1,NA,NA,2,3,0,1,0,0,2,6,0,2,0.12586987108795678
1,51,Female,2,Part-time employed,34000,2,4,1,NA,NA,2,NA,80,0,40,1,NA,1,1,NA,5,1,1,0,0,3,7,0,2,0.12586987108795678
1,65,Female,1,Retired,10000,1,8,1,NA,NA,NA,1,65,1,67,1,NA,1,1,5,NA,0,0,0,0,2,7,0,3,0.06331550802139041
1,74,Female,3,Part-time employed,99000,4,8,NA,3,NA,NA,4,50,1,50,0,3,NA,2,4,NA,0,1,0,0,7,9,0,3,0.24465585865449957
1,54,Male,4,Full-time employed,50000,4,8,2,4,NA,NA,NA,50,1,50,1,NA,NA,3,4,5,0,0,1,0,6,12,1,4,0.1305589160416163
1,76,Male,4,Retired,39999,2,8,NA,NA,5,3,NA,46,1,46,1,3,3,NA,NA,5,1,0,0,0,8,11,1,3,0.33913191572186263
1,47,Female,2,Unemployed,25000,4,8,NA,NA,NA,3,3,28,1,21,1,3,3,3,NA,NA,1,0,0,0,6,9,0,0,0.0851111863641495
1,72,Male,2,Retired,20000,2,8,3,3,NA,NA,NA,20,1,50,1,NA,NA,3,3,5,0,0,0,0,6,11,1,9,0.2695457354758962
1,35,Female,3,Full-time employed,30000,7,6,NA,NA,4,NA,1,67,1,76,1,5,5,NA,5,NA,0,0,1,0,5,15,0,3,0.2621057949051021
1,41,Female,1,Unemployed,5000,4,8,NA,3,3,NA,NA,56,0,46,0,4,NA,NA,2,4,0,0,0,0,6,10,0,6,0.03537757864277047
1,68,Female,6,Retired,70000,2,8,NA,NA,NA,4,4,65,0,42,0,4,4,4,NA,NA,0,0,0,0,8,12,0,1,0.2591891891891892
1,53,Male,6,Full-time employed,80000,7,6,2,1,NA,NA,NA,82,0,44,1,NA,NA,2,1,1,0,0,1,0,3,4,1,3,0.4149562844918459
1,53,Male,6,Full-time employed,80000,7,6,NA,NA,2,NA,2,43,0,45,0,2,1,NA,1,NA,0,0,1,0,4,4,1,3,0.4149562844918459
1,67,Female,4,Retired,55000,1,8,5,NA,NA,5,NA,24,1,38,0,NA,5,5,NA,5,0,0,0,0,10,15,0,7,0.22930072016022496
